330,ROSSETTI,Mario,Bruno,Men
331,DANIELOV,NULL,Gheorghe,Men
332,PHARAMOND,NULL,Alexandre,Men
333,OKRENT,NULL,Detlef,Men
334,MONTGOMERY,Carter,John,Men
335,LANNOWE,NULL,M.,Men
336,TROLLE,NULL,Orvar,Men
337,DEES,NULL,Tony,Men
338,BERNHARDT,NULL,Hans,Men
339,FIDDES,James,Frank,Men
340,TAILLON,NULL,Jacinthe,Women
341,UTONDU,NULL,Beatrice,Women
342,DOGU,NULL,Yasar,Men
343,BERGER,NULL,Henri-Georges,Men
344,KIM,NULL,Jeong-Mi,Women
345,MAASDIJK,NULL,Koos,Men
346,WIGGINS,Reginald,Arthur Frederick,Men
347,GUNDERSON,NULL,Jacob,Men
348,MOWLAM,NULL,Stephen,Men
349,CAMPBELL,NULL,Darren,Men
350,YELESINA,NULL,Yelena,Women
351,DMITRIEV,NULL,Roman,Men
352,WILSON,NULL,Blaine,Men
353,KOVALS,NULL,Ainars,Men
354,LITTLE,NULL,Harold,Men
355,TOLLER,Henry,Montagu,Men
356,WEIDENBORNER,NULL,Cyril,Men
357,HALMAY,NULL,Zoltan,Men
358,TUTTLE,NULL,William,Men
359,NIKOLOV,Dimitrov,Guergui,Men
360,FOIK,NULL,Marjan,Men
361,ILCHENKO,NULL,Larisa,Women
362,WEDGE,Greenfeld,Thomas,Men
363,TSAGARAEVA,NULL,Larisa,Women
364,KIRITCHENKO,NULL,Olga,Women
365,STEINBACH,NULL,Wolfgang,Men
366,WEVERS,NULL,Paul,Men
367,SCHREIBER,NULL,Hartmut,Men
368,HILL,NULL,Clinton,Men
369,DZHUMANAZAROV,NULL,Setymkul,Men
370,ZHUK,NULL,Aleksei,Men
371,VOLAK,NULL,Jaroslav,Men
372,SHAPIRO,NULL,Neal,Men
373,VALLE,NULL,Lazaro,Men
374,ANDRIITSEV,NULL,Valerii,Men
375,EMMS,NULL,Gail,Women
376,CHAPMAN-POPA,NULL,Susan,Women
377,HOY,NULL,Andrew,Men
378,VAN,Coby,BAALEN,Women
379,BANDINELLI,NULL,Spartaco,Men
380,FERNANDES,Luiz,Jorge,Men
381,STRUZHANOV,NULL,Vladimir,Men
382,ÖSTERVOLD,Olsen,Ole,Men
383,VIEILLEDENT,NULL,Sebastien,Men
384,ZHANG,NULL,Bing,Men
385,SCHWARZKOPF,NULL,Lilli,Women
386,STRAUCH,NULL,Filip,Men
387,MANN,Thompson,Harold,Men
388,SABIROV,NULL,Shamil,Men
389,MÖSCHTER,NULL,Kurt,Men
390,RUZICKA,NULL,Zdenek,Men
391,VAN,Louis,BEECK,Men
392,SUBAGJA,Achmad,Ricky,Men
393,PIGNATTI,NULL,Ermanno,Men
394,ZAOUI,NULL,Mohamed,Men
395,ZVYAGINTSEV,NULL,Viktor,Men
396,SKRLANT,NULL,Zdenek,Men
397,BAAR,NULL,Roland,Men
398,SÖRVIK,NULL,Birger,Men
399,LISHCHYNSKA,NULL,Iryna,Women
400,KHURCILAVA,NULL,Murtaz,Men
401,BUSEMANN,NULL,Frank,Men
402,WARRER,NULL,Jonas,Men
403,CHANG,NULL,Yongxiang,Men
404,PEDERSEN,L.,Helmer Orlaf,Men
405,DZIECIOL,NULL,Iwona,Women
406,BUDNIKOV,NULL,Aleksandr,Men
407,EMMERLING,NULL,Bjoern,Men
408,DIETRICH,NULL,Walter,Men
409,STRAKER,NULL,Karen,Women
410,ULLEBERG,NULL,Frithjof,Men
411,MISHINA,NULL,Masumi,Women
412,RISIGLIONE,NULL,Francisco,Men
413,BRONST,NULL,Andreas,Men
414,PRINSTEIN,NULL,Meyer,Men
415,GREENE,NULL,Maurice,Men
416,KOROL,NULL,Adam,Men
417,LUNDE,Eugen,Peder,Men
418,AHN,NULL,Byung-Keun,Men
419,WINTHER,NULL,Kasper,Men
420,BARONE,Twining,Marian Emma,Women
421,JENSEN,NULL,Erling,Men
422,DUMITRESCU,NULL,Constantin,Men
423,DANIELS,Francis,Isabelle,Women
424,RONEBERG,NULL,Brett,Men
425,SOBIROV,NULL,Rishod,Men
426,FRANKOVIC,NULL,Valner,Men
427,MITCHELL,NULL,Elizabeth,Women
428,KRAUSE,NULL,Dieter,Men
429,BROUWER,NULL,Bertha,Women
430,HOEPFNER,H.,Richard,Men
431,KEASER,Weldon,Lloyd,Men
432,KISS,NULL,Lajos,Men
433,PINTSKUS,NULL,Ionas,Men
434,RHODE,NULL,Kimberly,Women
435,HWANG,Sun,Kyung,Women
436,GRIGORE,NULL,Andreea,Women
437,PELIZZOLI,NULL,Ivan,Men
438,DE,Vanderlei,LIMA,Men
439,KLODEN,NULL,Andreas,Men
440,LOPEZ,Juan,MARTINEZ,Men
441,LARSON,Erwin,David,Men
442,YUAN,Chi,Shu,Women
443,KORNBAKK,NULL,Torbjoern,Men
444,SHISHIKURA,NULL,Kunie,Women
445,SCHNEIDER,NULL,Dorothee,Women
446,TANZINI,NULL,Luisa,Women
447,ANDERSEN,Nörregaard,Hjalmart,Men
448,RÖNSTRÖM,NULL,Eva,Women
449,JOLYOT,NULL,Pascal,Men
450,BAKANIC,Aloisie,Ladislava,Women
451,GOULD,NULL,Jay,Men
452,KIM,NULL,Chel-Hwan,Men
453,ATALAY,NULL,Mahmut,Men
454,LI,Pyong,Ho,Men
455,TIMINSKAS,NULL,Mindaugas,Men
456,NEUMER,NULL,Karl,Men
457,KULESZA,NULL,Seweryn,Men
458,KUPCHAK,NULL,Mitchell,Men
459,WILSON,NULL,Gerald,Men
460,HILL,Edwin,Arthur,Men
461,KITAMURA,NULL,Kusuo,Men
462,VASSILEVSKAIA,NULL,Svetlana,Women
463,GLAVAN,NULL,Damir,Men
464,RODRIGUEZ,Jr.,Raoul Pedro,Men
465,CHANG,NULL,Si,Women
466,MASIP,Enric,BORRAS,Men
467,PYRGOS,NULL,Leonidas,Men
468,LOBANOV,NULL,Yuri,Men
469,THORNE,Arthur,Ernest,Men
470,FRANCETIC,NULL,Igor,Men
471,GURNEY,Carolyn,Hilda,Women
472,ALIABADI,NULL,Rahim,Men
473,BUERGER,NULL,Joseph,Men
474,THOMAS,NULL,Nils,Men
475,STROHBACH,NULL,Rainer,Men
476,CHAMBERS,NULL,Richard,Men
477,LINDSTRÖM,NULL,Gunnar,Men
478,COLLETT,NULL,E.,Men
479,CLEAVELAND,NULL,Norman,Men
480,VAN,J.C.,HOOLWERFF,Men
481,DELRIEU,NULL,Philippe,Men
482,SCHULZE,NULL,Karl,Men
483,COSTELLO,Vincent,Paul,Men
484,LI,NULL,Xiaosahuang,Men
485,ANDRE,NULL,LUIZ,Men
486,RACZ,NULL,Lajos,Men
487,SELBACH,Katarina,Johanna,Women
488,SCHULTZ,NULL,Annette,Women
489,LUDWIG,NULL,Richard,Men
490,ROTHWELL,Jon,Michael,Men
491,POLIT,NULL,Cornelia,Women
492,NILCA,NULL,Alexandru,Men
493,DE,Charles,SOMVILLE Oscar,Men
494,YU,NULL,Kyung-Hwa,Women
495,WEBNER,NULL,Wolfgang,Men
496,SAITIEV,NULL,Adam,Men
497,SEARLE,NULL,Greg,Men
498,ESQUER,NULL,Salvador,Men
499,RIISMAN,NULL,Mait,Men
500,LEDOVSKAYA,NULL,Tatiana,Women
501,SANDERS,NULL,Anthony,Men
502,CASTELLI,NULL,Giuseppe,Men
503,BRADFORD,Edward,James,Men
504,MAMIASHVILI,NULL,Mikhail,Men
505,WENDELL,NULL,James,Men
506,RWABDOGO,NULL,Leo,Men
507,MELLINGHAUS,NULL,Matthias,Men
508,IVANENKO,NULL,Vyacheslav,Men
509,MOLDOVAN,NULL,Oleg,Men
510,SAKAGUCHI,NULL,Mizuho,Women
511,WOTTLE,James,David,Men
512,GOLUBNICHAYA,NULL,Mariya,Women
513,FISSEUX,NULL,Emile,Men
514,MERIGNAC,NULL,Lucien,Men
515,LONDOT,NULL,NULL,Men
516,WATT,Anne,Kathryn,Women
517,CHARIKOV,NULL,Serguei,Men
518,ULM,NULL,Stefan,Men
519,FUCHSBERGER,NULL,Franz,Men
520,SVENDSEN,Valdemar,Christian,Men
521,OH,Hyek,Jin,Men
522,CHERMASHENTSEV,NULL,Anton,Men
523,WENZEL,NULL,Hartmut,Men
524,FRANA,NULL,Javier,Men
525,KIRALY,Hajnalka,PICOT,Women
526,PUSNIK,NULL,Rolando,Men
527,BEISEL,NULL,Elizabeth,Women
528,BELL,Edward,Alphonzo,Men
529,MCGLEDE,John,Stephen,Men
530,OREMANS,NULL,Miriam,Women
531,OKABE,NULL,Yukiaki,Men
532,CARR,Arthur,William,Men
533,POFFET,NULL,Michel,Men
534,LUKANINA,NULL,Ninel,Women
535,KASHIMA,NULL,Takehiro,Men
536,CALABRESE,NULL,Giovanni,Men
537,ROCK,NULL,Peter,Men
538,HORNY,NULL,Katherine,Women
539,SUCCI,NULL,Belen,Women
540,SPOLJARIC,NULL,Denis,Men
541,OEN,Dale,Alexander,Men
542,SHISHIGINA,NULL,Olga,Women
543,POSTIGLIONE,NULL,Francesco,Men
544,KREBS,NULL,Ernst,Men
545,O'BRIEN,T.,Edward,Men
546,KOKCHAROV,NULL,Eduard,Men
547,BRESSET,NULL,Julie,Women
548,LEE,NULL,Virginia,Women
549,REBRACA,NULL,Zeljko,Men
550,MA,NULL,Yan-Hong,Women
551,COOPER,Joyce,Margaret,Women
552,RENNEBERG,Heinz,Karl,Men
553,GONZALEZ,Jr.,Paul Garza,Men
554,MUNSON,Curtis,David,Men
555,LACEY,NULL,Venus,Women
556,OBADOV,NULL,Slavko,Men
557,MÜLLER,NULL,Kurt,Men
558,LOOMER,Kenneth,Lorne,Men
559,MACHA,NULL,Vitezslav,Men
560,HRISTOV,NULL,Valentin,Men
561,SLAMA,NULL,Igor,Men
562,HOWALDT,NULL,Hans,Men
563,POLISHCHUK,NULL,Mikhail,Men
564,ZHENG,NULL,Lihui,Men
565,WILDEN-JAHN,NULL,Rita,Women
566,NAKAMURA,NULL,Norihiro,Men
567,PETERSEN,NULL,Rikke,Women
568,BYKOVA,NULL,Natalia,Women
569,FACCHIN,NULL,Andrea,Men
570,JEHLE,NULL,Joseph,Men
571,URSELMANN,NULL,Wiltrud,Women
572,MINAMOTO,NULL,Sumika,Women
573,GOUJON,NULL,Jean,Men
574,BEGARD,NULL,Isabelle,Women
575,PEZZO,NULL,Paola,Women
576,ALEXANDER,NULL,Lisa,Women
577,GIUSTOLISI,NULL,Luca,Men
578,ALEXEEV,NULL,Denis,Men
579,ANDREASEN,Edwin,Lawrence,Men
580,GEIGER,NULL,John,Men
581,BIANCHI,NULL,Rene,Men
582,WIDE,NULL,Ernest,Men
583,BIECHL,NULL,Anni,Women
584,LEE,NULL,Samuel,Men
585,BYRD,Leslie,Richard,Men
586,CUTHBERT,NULL,Betty,Women
587,BESSON,NULL,M.,Men
588,CAPDEVILA,NULL,Juan,Men
589,CHTEREV,NULL,Simeon,Men
590,MARG,NULL,Harald,Men
591,MAURER,S.,Walter,Men
592,NILSSON,Einar,Per,Men
593,MCDERMID,NULL,Sally,Women
594,CARSTENS,NULL,Wilhelm,Men
595,MOLDOVAN-ZSAK,NULL,Marcela,Women
596,MAC,Margaret,DONALD Irene,Women
597,FABIAN,NULL,Laszlo,Men
598,RICHTER,Maria,Antonius,Men
599,BILGE,NULL,Gazanfer,Men
600,SALMI,Artur,Sulo,Men
601,CARLTON,Albert,Guy,Men
602,KIM,NULL,Cheong-Shim,Women
603,PIGNOTTI,NULL,Ugo,Men
604,COCHRAN,Braxton,Roy,Men
605,OUGH,NULL,Wayne,Men
606,SWANN,NULL,Matthew,Men
607,WEITZENBERG,Barry,Charles,Men
608,CROSS,NULL,Sidney,Men
609,HIPP,NULL,Jaime,Women
