Berlin 1936,POL,NULL,NULL
Athens 2004,ERI,NULL,NULL
Beijing 2008,ITA,NULL,NULL
London 2012,,NULL,NULL
Paris 1924,BEL,NULL,NULL
Amsterdam 1928,POL,NULL,NULL
Helsinki 1952,FIN,NULL,NULL
Atlanta 1996,CAN,NULL,NULL
Mexico 1968,FIN,NULL,NULL
Seoul 1988,PHI,NULL,NULL
Tokyo 1964,CAN,NULL,NULL
Rome 1960,ITA,NULL,NULL
Paris 1924,TCH,NULL,NULL
Atlanta 1996,ETH,NULL,NULL
Berlin 1936,ITA,NULL,NULL
Mexico 1968,ROU,NULL,NULL
Rome 1960,NED,NULL,NULL
Antwerp 1920,NED,NULL,NULL
Seoul 1988,ARG,NULL,NULL
London 1948,MEX,NULL,NULL
Beijing 2008,GRE,NULL,NULL
Tokyo 1964,TCH,NULL,NULL
Beijing 2008,CHI,NULL,NULL
Rome 1960,PAK,NULL,NULL
Tokyo 1964,BRA,NULL,NULL
Seoul 1988,BUL,NULL,NULL
Sydney 2000,MOZ,NULL,NULL
Berlin 1936,YUG,NULL,NULL
Sydney 2000,POL,NULL,NULL
Beijing 2008,MAS,NULL,NULL
Rome 1960,GRE,NULL,NULL
Paris 1900,SWE,NULL,NULL
Barcelona 1992,COL,NULL,NULL
Sydney 2000,MEX,NULL,NULL
London 1908,FIN,NULL,NULL
Sydney 2000,KGZ,NULL,NULL
Mexico 1968,TUR,NULL,NULL
Amsterdam 1928,AUT,NULL,NULL
Atlanta 1996,KEN,NULL,NULL
Rome 1960,CAN,NULL,NULL
Mexico 1968,NOR,NULL,NULL
Tokyo 1964,KEN,NULL,NULL
Barcelona 1992,PER,NULL,NULL
London 1948,FIN,NULL,NULL
Sydney 2000,CUB,NULL,NULL
London 2012,BOT,NULL,NULL
Melbourne / Stockholm 1956,ROU,NULL,NULL
Mexico 1968,SWE,NULL,NULL
Athens 2004,POL,NULL,NULL
Rome 1960,RSA,NULL,NULL
Athens 1896,GBR,NULL,NULL
Rome 1960,HUN,NULL,NULL
Helsinki 1952,FRA,NULL,NULL
Antwerp 1920,GRE,NULL,NULL
Atlanta 1996,INA,NULL,NULL
Sydney 2000,SRI,NULL,NULL
Amsterdam 1928,GER,NULL,NULL
Berlin 1936,HUN,NULL,NULL
Sydney 2000,FIN,NULL,NULL
Sydney 2000,INA,NULL,NULL
Sydney 2000,CMR,NULL,NULL
Beijing 2008,SRB,NULL,NULL
Moscow 1980,IND,NULL,NULL
Stockholm 1912,CAN,NULL,NULL
Sydney 2000,AUT,NULL,NULL
Sydney 2000,YUG,NULL,NULL
Sydney 2000,COL,NULL,NULL
Barcelona 1992,SWE,NULL,NULL
London 2012,MGL,NULL,NULL
Melbourne / Stockholm 1956,TUR,NULL,NULL
Los Angeles 1984,AUS,NULL,NULL
Sydney 2000,GRE,NULL,NULL
Sydney 2000,CHI,NULL,NULL
Moscow 1980,BUL,NULL,NULL
Sydney 2000,MKD,NULL,NULL
Beijing 2008,ARG,NULL,NULL
Moscow 1980,PRK,NULL,NULL
Athens 2004,FIN,NULL,NULL
London 1908,CAN,NULL,NULL
Tokyo 1964,PHI,NULL,NULL
London 1948,USA,NULL,NULL
Montreal 1976,TCH,NULL,NULL
London 1908,FRA,NULL,NULL
Rome 1960,EUA,NULL,NULL
Barcelona 1992,NED,NULL,NULL
Mexico 1968,USA,NULL,NULL
Rome 1960,ARG,NULL,NULL
Amsterdam 1928,HAI,NULL,NULL
Barcelona 1992,PUR,NULL,NULL
Sydney 2000,TUR,NULL,NULL
Munich 1972,NGR,NULL,NULL
Melbourne / Stockholm 1956,FRA,NULL,NULL
Berlin 1936,ARG,NULL,NULL
Tokyo 1964,EUA,NULL,NULL
Sydney 2000,NOR,NULL,NULL
Athens 2004,CHI,NULL,NULL
Rome 1960,BUL,NULL,NULL
Helsinki 1952,DEN,NULL,NULL
Los Angeles 1932,IND,NULL,NULL
Helsinki 1952,AUT,NULL,NULL
Beijing 2008,SVK,NULL,NULL
Melbourne / Stockholm 1956,BRA,NULL,NULL
Rome 1960,AUS,NULL,NULL
Los Angeles 1932,ARG,NULL,NULL
Montreal 1976,BER,NULL,NULL
Munich 1972,GRE,NULL,NULL
Seoul 1988,AHO,NULL,NULL
Athens 2004,UKR,NULL,NULL
Tokyo 1964,BAH,NULL,NULL
Atlanta 1996,ALG,NULL,NULL
Athens 1896,GRE,NULL,NULL
Paris 1900,ESP,NULL,NULL
Atlanta 1996,BRA,NULL,NULL
Los Angeles 1932,AUS,NULL,NULL
Sydney 2000,BRA,NULL,NULL
Tokyo 1964,TUN,NULL,NULL
Paris 1924,ROU,NULL,NULL
Paris 1924,POL,NULL,NULL
Beijing 2008,TOG,NULL,NULL
London 1908,DEN,NULL,NULL
Mexico 1968,BEL,NULL,NULL
Montreal 1976,USA,NULL,NULL
Los Angeles 1984,KOR,NULL,NULL
Los Angeles 1932,URU,NULL,NULL
Moscow 1980,VEN,NULL,NULL
Helsinki 1952,URS,NULL,NULL
Atlanta 1996,RUS,NULL,NULL
Mexico 1968,TPE,NULL,NULL
Athens 2004,TRI,NULL,NULL
Beijing 2008,EGY,NULL,NULL
Beijing 2008,BRA,NULL,NULL
Paris 1900,ITA,NULL,NULL
Helsinki 1952,IND,NULL,NULL
Barcelona 1992,LAT,NULL,NULL
Los Angeles 1984,BEL,NULL,NULL
Beijing 2008,BLR,NULL,NULL
Athens 2004,INA,NULL,NULL
Amsterdam 1928,CAN,NULL,NULL
Athens 2004,CMR,NULL,NULL
Paris 1900,CUB,NULL,NULL
St Louis 1904,GRE,NULL,NULL
Amsterdam 1928,URU,NULL,NULL
Los Angeles 1984,ESP,NULL,NULL
Paris 1924,FIN,NULL,NULL
Seoul 1988,ROU,NULL,NULL
London 2012,CRO,NULL,NULL
Munich 1972,IND,NULL,NULL
London 2012,KAZ,NULL,NULL
Paris 1924,AUT,NULL,NULL
Athens 2004,ROU,NULL,NULL
Amsterdam 1928,RSA,NULL,NULL
St Louis 1904,AUT,NULL,NULL
Los Angeles 1984,FIN,NULL,NULL
Seoul 1988,MEX,NULL,NULL
