12193,Athens 2004,ITA
1027,Rome 1960,HUN
20105,St Louis 1904,USA
17567,Antwerp 1920,NOR
11724,Athens 2004,ITA
6006,Beijing 2008,ITA
4070,Athens 2004,CAN
396,Berlin 1936,TCH
6946,Tokyo 1964,DEN
10336,Paris 1900,ZZX
1133,London 2012,NED
9643,Tokyo 1964,GBR
9156,Barcelona 1992,BUL
3651,Athens 2004,CHN
19373,London 1908,SWE
17894,Los Angeles 1984,BRA
17538,Seoul 1988,NED
13861,Moscow 1980,GDR
22268,Seoul 1988,YUG
4258,Melbourne / Stockholm 1956,ITA
12707,Seoul 1988,URS
17469,Barcelona 1992,EUN
2034,Antwerp 1920,DEN
2153,Beijing 2008,NZL
3408,Los Angeles 1984,CHN
14329,Mexico 1968,HUN
4836,Munich 1972,GDR
1033,Antwerp 1920,GRE
10385,Tokyo 1964,ROU
20058,Antwerp 1920,USA
18682,Barcelona 1992,EUN
15368,Montreal 1976,URS
21365,Melbourne / Stockholm 1956,GBR
2984,Helsinki 1952,JPN
17286,Athens 2004,ITA
1427,Los Angeles 1932,USA
13717,Los Angeles 1932,JPN
4247,Moscow 1980,POL
20856,Montreal 1976,FRG
7749,Berlin 1936,HUN
10847,Athens 2004,RUS
16004,Athens 2004,SCG
13431,London 1908,BOH
12597,Beijing 2008,GER
3554,London 1908,SWE
15841,London 2012,GER
17826,Sydney 2000,NGR
16485,Amsterdam 1928,EST
19702,Barcelona 1992,ITA
3321,Athens 2004,AUS
19915,Athens 2004,POR
16069,Tokyo 1964,ROU
7773,Athens 2004,JPN
3840,Mexico 1968,TCH
17859,Mexico 1968,URS
2999,Seoul 1988,KOR
2556,Montreal 1976,FRA
6574,Los Angeles 1932,FIN
6673,Melbourne / Stockholm 1956,RSA
6949,Atlanta 1996,AUS
2227,Montreal 1976,URS
10587,Moscow 1980,POL
16357,Sydney 2000,JAM
21774,Seoul 1988,URS
17361,Munich 1972,URS
8140,Tokyo 1964,TCH
10725,Tokyo 1964,BUL
7610,Munich 1972,FRG
14460,Stockholm 1912,SWE
9234,Seoul 1988,KOR
13307,Melbourne / Stockholm 1956,URS
4410,Paris 1900,FRA
5158,Amsterdam 1928,IND
17896,London 1908,GBR
13971,Berlin 1936,SWE
20844,Paris 1924,USA
4416,Sydney 2000,USA
9733,Helsinki 1952,URS
5778,Mexico 1968,URS
16929,Seoul 1988,USA
15960,Atlanta 1996,RUS
14480,Beijing 2008,KOR
14813,London 1908,DEN
3334,Munich 1972,TCH
21783,Los Angeles 1984,YUG
18768,London 1948,USA
14414,Sydney 2000,AUS
20302,Berlin 1936,USA
9631,Tokyo 1964,POL
1528,London 2012,NED
10905,London 1948,ARG
17991,Montreal 1976,GDR
16077,Seoul 1988,ITA
7065,Stockholm 1912,FIN
7036,Beijing 2008,GEO
5406,Athens 2004,GRE
254,Beijing 2008,CHN
4759,London 1948,GBR
6733,Sydney 2000,YUG
20566,Barcelona 1992,KOR
2058,Los Angeles 1932,FRA
16694,London 2012,MEX
20074,Helsinki 1952,CHI
18009,London 2012,GBR
3399,Amsterdam 1928,ARG
22263,Seoul 1988,AUS
1244,Mexico 1968,GBR
17475,Mexico 1968,POL
18944,London 1948,HUN
4127,London 1908,USA
13665,Mexico 1968,GDR
20621,Helsinki 1952,URS
4033,Los Angeles 1984,FRG
2182,London 1908,GBR
6381,London 1908,GBR
2963,St Louis 1904,USA
16194,Munich 1972,URS
12035,Barcelona 1992,EUN
21233,Atlanta 1996,GER
18220,London 1908,GBR
19722,Moscow 1980,GDR
9149,London 2012,CAN
8648,Los Angeles 1932,USA
4321,London 1908,GER
1974,Los Angeles 1984,CHN
18492,Moscow 1980,GDR
10179,Sydney 2000,CUB
9027,Munich 1972,ROU
51,Paris 1924,FIN
3570,Los Angeles 1984,CHN
10334,Paris 1924,USA
8516,Los Angeles 1984,CAN
11178,Beijing 2008,ESP
21689,Stockholm 1912,SWE
20081,Helsinki 1952,ROU
18793,Los Angeles 1932,AUT
